state,segment,profile,lon,lat,x,z,x_err,z_err,beach_width,slope,feature_type
1,33,739,-95.556,28.8005,-67.9461,1.288,999,0.0482,999,999,DT
1,33,739,-95.5556,28.7998,20.1308,0.37,0.2033,999,88.0768,0.0104,SL
1,33,740,-95.556,28.8006,-81.6961,2.0606,999,0.0258,999,999,DC
1,33,740,-95.5559,28.8005,-67.9461,1.3272,999,0.0823,999,999,DT
1,33,740,-95.5555,28.7999,19.4096,0.37,0.2566,999,87.3557,0.011,SL
1,33,741,-95.5559,28.8007,-81.6961,2.0183,999,0.0419,999,999,DC
1,33,741,-95.5558,28.8006,-66.6961,1.3156,999,0.0941,999,999,DT
1,33,741,-95.5554,28.7999,19.454,0.37,0.0732,999,86.1501,0.011,SL
1,33,742,-95.5558,28.8007,-84.1961,1.9621,999,0.0559,999,999,DC
1,33,742,-95.5557,28.8006,-66.6961,1.2686,999,0.0886,999,999,DT
1,33,742,-95.5553,28.7999,19.6471,0.37,0.1749,999,86.3432,0.0104,SL
1,33,743,-95.5557,28.8008,-84.1961,1.8568,999,0.0892,999,999,DC
1,33,743,-95.5557,28.8007,-66.6961,1.2561,999,0.0668,999,999,DT
1,33,743,-95.5552,28.8,19.8534,0.37,0.151,999,86.5494,0.0102,SL
1,33,744,-95.5553,28.8004,-21.6961,1.6752,999,0.0601,999,999,DC
1,33,744,999,999,999,999,999,999,999,999,DT
1,33,744,-95.5551,28.8,20.2116,0.37,0.1095,999,999,999,SL
1,33,745,-95.5553,28.8004,-21.6961,1.6733,999,0.077,999,999,DC
1,33,745,999,999,999,999,999,999,999,999,DT
1,33,745,-95.555,28.8001,20.3218,0.37,0.0737,999,999,999,SL
1,33,746,-95.5552,28.8004,-19.1961,1.7045,999,0.0635,999,999,DC
1,33,746,999,999,999,999,999,999,999,999,DT
1,33,746,-95.5549,28.8001,20.1664,0.37,0.0745,999,999,999,SL
1,33,747,-95.5551,28.8005,-19.1961,1.7417,999,0.0534,999,999,DC
1,33,747,999,999,999,999,999,999,999,999,DT
1,33,747,-95.5549,28.8002,20.3171,0.37,0.0758,999,999,999,SL
1,33,748,-95.555,28.8005,-16.6961,1.7435,999,0.0478,999,999,DC
1,33,748,999,999,999,999,999,999,999,999,DT
1,33,748,-95.5548,28.8002,20.929,0.37,0.0718,999,999,999,SL
1,33,749,-95.5549,28.8005,-16.6961,1.7138,999,0.0436,999,999,DC
1,33,749,999,999,999,999,999,999,999,999,DT
1,33,749,-95.5547,28.8002,21.8865,0.37,0.078,999,999,999,SL
1,33,750,-95.5548,28.8006,-14.1961,1.6955,999,0.0688,999,999,DC
1,33,750,-95.5547,28.8004,7.0539,1.1452,999,0.0645,999,999,DT
1,33,750,-95.5546,28.8003,22.3587,0.37,0.0263,999,36.5548,0.0363,SL
1,33,751,-95.5547,28.8006,-11.6961,1.6712,999,0.0413,999,999,DC
1,33,751,-95.5546,28.8004,9.5539,1.0979,999,0.0566,999,999,DT
1,33,751,-95.5545,28.8003,22.2208,0.37,0.0444,999,33.9169,0.0384,SL
1,33,752,-95.5546,28.8006,-11.6961,1.6911,999,0.0658,999,999,DC
1,33,752,-95.5545,28.8005,9.5539,1.1159,999,0.0702,999,999,DT
1,33,752,-95.5544,28.8004,22.2182,0.37,0.0363,999,33.9143,0.039,SL
1,33,753,-95.5545,28.8007,-11.6961,1.7115,999,0.0877,999,999,DC
1,33,753,999,999,999,999,999,999,999,999,DT
1,33,753,-95.5543,28.8004,22.6373,0.37,0.0028,999,999,999,SL
1,33,754,-95.5544,28.8007,-11.6961,1.6683,999,0.0743,999,999,DC
1,33,754,-95.5543,28.8006,3.3039,1.2299,999,0.0525,999,999,DT
1,33,754,-95.5542,28.8005,22.8356,0.37,0.0387,999,34.5317,0.0376,SL
1,33,755,-95.5543,28.8008,-11.6961,1.6511,999,0.0656,999,999,DC
1,33,755,-95.5542,28.8007,3.3039,1.2421,999,0.054,999,999,DT
1,33,755,-95.5541,28.8005,22.5544,0.37,0.1077,999,34.2505,0.0374,SL
1,33,756,-95.5542,28.8008,-11.6961,1.6726,999,0.0762,999,999,DC
1,33,756,-95.5541,28.8007,3.3039,1.2383,999,0.0628,999,999,DT
1,33,756,-95.5541,28.8006,22.1255,0.37,0.1815,999,33.8216,0.0385,SL
1,33,757,-95.5541,28.8009,-11.6961,1.6659,999,0.0474,999,999,DC
1,33,757,-95.5541,28.8007,3.3039,1.202,999,0.0566,999,999,DT
1,33,757,-95.554,28.8006,21.8396,0.37,0.1077,999,33.5357,0.0386,SL
1,33,758,-95.554,28.8009,-11.6961,1.6603,999,0.0431,999,999,DC
1,33,758,-95.554,28.8008,0.8039,1.1874,999,0.0644,999,999,DT
1,33,758,-95.5539,28.8006,21.7681,0.37,0.13,999,33.4642,0.0386,SL
1,33,759,-95.554,28.801,-14.1961,1.6421,999,0.0394,999,999,DC
1,33,759,-95.5539,28.8009,0.8039,1.1469,999,0.0481,999,999,DT
1,33,759,-95.5538,28.8007,21.6002,0.37,0.1238,999,35.7963,0.0355,SL
1,33,760,-95.5539,28.801,-14.1961,1.5653,999,0.0758,999,999,DC
1,33,760,999,999,999,999,999,999,999,999,DT
1,33,760,-95.5537,28.8007,20.9349,0.37,0.1186,999,35.131,0.034,SL
1,33,761,-95.5538,28.8011,-14.1961,1.5099,999,0.0594,999,999,DC
1,33,761,999,999,999,999,999,999,999,999,DT
1,33,761,-95.5536,28.8008,19.6932,0.37,0.1698,999,33.8893,0.0336,SL
1,33,762,-95.5537,28.8011,-14.1961,1.5475,999,0.0684,999,999,DC
1,33,762,999,999,999,999,999,999,999,999,DT
1,33,762,-95.5535,28.8009,17.9625,0.37,0.1951,999,32.1586,0.0366,SL
1,33,763,-95.5536,28.8012,-14.1961,1.6219,999,0.0422,999,999,DC
1,33,763,-95.5535,28.801,0.8039,1.1672,999,0.0278,999,999,DT
1,33,763,-95.5535,28.8009,17.2465,0.37,0.2713,999,31.4426,0.0398,SL
1,33,764,-95.5535,28.8012,-14.1961,1.6731,999,0.0939,999,999,DC
1,33,764,-95.5535,28.8011,0.8039,1.2136,999,0.0522,999,999,DT
1,33,764,-95.5534,28.8009,17.9115,0.37,0.227,999,32.1076,0.0406,SL
1,33,765,-95.5534,28.8012,-14.1961,1.6563,999,0.1124,999,999,DC
1,33,765,-95.5534,28.8011,3.3039,1.2185,999,0.0354,999,999,DT
1,33,765,-95.5533,28.801,19.0475,0.37,0.1322,999,33.2436,0.0387,SL
1,33,766,-95.5534,28.8013,-14.1961,1.6408,999,0.0838,999,999,DC
1,33,766,999,999,999,999,999,999,999,999,DT
1,33,766,-95.5532,28.801,19.2502,0.37,0.1443,999,33.4463,0.038,SL
1,33,767,-95.5533,28.8013,-11.6961,1.7202,999,0.0567,999,999,DC
1,33,767,-95.5531,28.8011,9.5539,1.1214,999,0.0611,999,999,DT
1,33,767,-95.5531,28.8011,19.4016,0.37,0.335,999,31.0977,0.0434,SL
1,33,768,-95.5532,28.8014,-21.6961,1.8127,999,0.1444,999,999,DC
1,33,768,-95.5531,28.8012,7.0539,1.2467,999,0.1539,999,999,DT
1,33,768,-95.553,28.8011,19.7061,0.37,0.4151,999,12.6521,0.0693,SL
1,33,769,-95.5531,28.8014,-11.6961,1.8327,999,0.0457,999,999,DC
1,33,769,-95.553,28.8013,7.0539,1.2398,999,0.0611,999,999,DT
1,33,769,-95.5529,28.8012,19.1878,0.37,0.198,999,12.1339,0.0717,SL
1,33,770,-95.553,28.8014,-11.6961,1.8379,999,0.0663,999,999,DC
1,33,770,999,999,999,999,999,999,999,999,DT
1,33,770,-95.5528,28.8012,18.1775,0.37,0.2255,999,999,999,SL
1,33,771,-95.5529,28.8015,-11.6961,1.8245,999,0.0672,999,999,DC
1,33,771,999,999,999,999,999,999,999,999,DT
1,33,771,-95.5527,28.8013,17.7068,0.37,0.3442,999,999,999,SL
1,33,772,-95.5528,28.8015,-11.6961,1.7853,999,0.0677,999,999,DC
1,33,772,-95.5527,28.8014,7.0539,1.2141,999,0.0681,999,999,DT
1,33,772,-95.5527,28.8013,17.5539,0.37,0.367,999,10.4999,0.0804,SL
1,33,773,-95.5527,28.8016,-14.1961,1.7395,999,0.1037,999,999,DC
1,33,773,-95.5526,28.8014,9.5539,1.0843,999,0.0927,999,999,DT
1,33,773,-95.5526,28.8014,17.7224,0.37,0.323,999,31.9185,0.0429,SL
1,33,774,-95.5527,28.8017,-16.6961,1.7511,999,0.1432,999,999,DC
1,33,774,-95.5525,28.8015,9.5539,1.1067,999,0.1228,999,999,DT
1,33,774,-95.5525,28.8014,18.0498,0.37,0.2831,999,34.7458,0.0397,SL
1,33,775,-95.5526,28.8017,-14.1961,1.838,999,0.0893,999,999,DC
1,33,775,-95.5524,28.8015,9.5539,1.1368,999,0.0847,999,999,DT
1,33,775,-95.5524,28.8014,18.599,0.37,0.2473,999,9.0451,0.0848,SL
1,33,776,-95.5525,28.8017,-14.1961,1.848,999,0.0866,999,999,DC
1,33,776,-95.5523,28.8016,9.5539,1.1222,999,0.0812,999,999,DT
